Gene,Mean,Dispersion,Dispersion_norm
IFRD1,0.991968111086552,2.410112025843204,1.1129321
WDR34,0.15188760279333657,2.5954202385136984,1.1129004
NUMB,0.6463213201261302,2.502615771182055,1.1126319
SECISBP2,0.6711719602905227,2.5025913434078846,1.1121309
COMMD2,0.5925925120045826,2.5025249067999353,1.110768
PCSK7,0.9998890469959072,2.4100199504999336,1.110689
CERS2,0.7253087699741664,2.470809447910968,1.1104344
MSL3,0.6893287976174453,2.4707970716672545,1.1101482
CTD-2517O10.6,0.028979599561116218,2.688386601765759,1.109508
ZNF404,0.055333628712409294,2.6882822192471534,1.108906
CDKN2A,0.11505624350794848,2.6881798198455744,1.1083153
ITGB1,0.5559540388758514,2.502405197986708,1.1083124
INF2,0.2545249365821078,2.5950253747031233,1.1082332
ZNF644,0.2848119089321822,2.554045587999054,1.1080711
ZNF37A,0.21714586647944975,2.595001719587017,1.1079537
ZNF302,0.4438804398383193,2.526961419101854,1.1069348
P2RY14,0.07834021840828805,2.687906995242869,1.1067417
RP11-164H13.1,0.11417038455552893,2.6878794206193706,1.1065826
TRAPPC9,0.19494265288631626,2.5948355569458044,1.1059897
RPSAP58,2.3241791151774516,1.4629882722915948,1.1057816
HIST1H2AM,0.035952670115969934,2.6873498666705973,1.1035283
GNB5,0.35847476391421823,2.553721799691315,1.102996
VPS13B,0.21664427814537907,2.594500565580873,1.1020303
NELL2,0.5868746963078276,2.502096607891857,1.101982
SLC2A3,1.3939376130018684,2.281222095906251,1.1014582
ADORA2A-AS1,0.06394838328287301,2.686894795060973,1.1009034
GABARAP,1.9237139041664173,1.9944208064818423,1.1005164
DHX36,0.6461344365379854,2.5020199682107482,1.1004099
ZNF564,0.05111884631952263,2.686685726733195,1.0996975
FLNA,1.2332339962054446,2.3763037086529195,1.0996959
NIPAL3,0.5271374838679119,2.5265384154459944,1.0990268
PIK3R3,0.04579126219837148,2.686423651041085,1.0981858
KCNH2,0.018596678100855985,2.6864031861782136,1.0980678
FXYD7,0.3028111602348844,2.5533952992633124,1.0978783
GLTPD1,0.2905644409856668,2.5533845519843785,1.0977099
ARL17A,0.03510176036009178,2.686304667823231,1.0974995
ACCS,0.06741323737280391,2.686219622792299,1.097009
SMKR1,0.13221795018598548,2.686167425474317,1.0967079
PAWR,0.11760247726425058,2.686165362621704,1.096696
CAAP1,0.2402265279672552,2.5940404781899926,1.0965922
AC131056.3,0.025632847802135005,2.6860966854251913,1.0962999
AC009948.5,0.062466361446907835,2.6860222023671976,1.0958703
HIVEP2,0.31741747897827743,2.553244721063093,1.0955181
CALM3,1.65446527153972,2.179058594704176,1.0949321
HINT2,0.9323577335874765,2.444890941688056,1.0947499
RAD1,0.30599907035924123,2.5531353503219605,1.0938039
BTLA,0.2498906007629903,2.5938026620378127,1.0937814
ANKRD28,0.19860942457260078,2.5937981665577152,1.0937282
ZNF620,0.03059968479076472,2.68562578813023,1.0935837
ZNF439,0.1921784159273072,2.593740749703043,1.0930495
BCAS4,0.5008846479148573,2.5262158127328544,1.0929958
PDIA5,0.07501906174846086,2.685455370059758,1.0926008
FANCM,0.054063522669292284,2.685431685580603,1.0924642
ZNF630,0.033059019371762415,2.6853662146355153,1.0920866
COA3,0.8833014566466133,2.4447765917668707,1.0919871
FZR1,0.22934662942067743,2.5936421103174756,1.0918837
SRRT,0.4287007650780272,2.5261481777365127,1.0917313
FLT3LG,1.1132190126051176,2.375968521774101,1.091483
TCOF1,0.44700424958954615,2.526090616172975,1.0906552
RAB3GAP2,0.3120851092349404,2.5529196745806924,1.0904233
FBXO11,0.2577989613039053,2.5935104744871262,1.0903279
GSR,0.2917042530244989,2.552880266626887,1.0898056
ZMAT1,0.16472628774563453,2.5934303680581237,1.089381
AAGAB,0.34276218937660924,2.552802420359319,1.0885855
LINC00299,0.018329765824828047,2.6847579258116463,1.088578
ZHX1-C8ORF76,0.061536621588421235,2.6845905447125262,1.0876125
FAM47E,0.015420033002628144,2.684381588400499,1.0864072
JUN,2.347493625177594,1.4606407022054093,1.086113
ENTPD4,0.2906346127359984,2.552617359824501,1.0856848
PASK,0.5737353140043256,2.50127079996928,1.0850416
ARHGAP21,0.10188358107828173,2.6840809528259473,1.0846732
