h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
3.105049e-03	2.662880e-03	5.478805e-01	4.666730e-01	6.608044e-04	10	
3.105049e-03	2.662880e-03	5.478805e-01	4.666730e-01	6.608044e-04	10	
3.105049e-03	2.662880e-03	5.478805e-01	4.666730e-01	6.608044e-04	10	
7.757183e-02	7.195305e-02	2.728335e-01	3.412831e-01	6.528036e-04	9	
1.136661e-01	1.059285e-01	6.853027e-02	3.480955e-02	5.867520e-04	8	
7.052844e-02	6.056160e-02	3.093721e-01	1.004453e-01	5.644527e-04	9	
4.852065e-02	3.034112e-02	6.887569e-01	4.365267e-01	6.312148e-04	7	
1.006017e-01	4.932946e-02	6.658643e-01	2.316618e-01	6.884229e-04	8	
1.106498e-01	3.071483e-02	8.758352e-01	5.458336e-01	6.615237e-04	7	
1.287694e-02	1.125492e-02	5.236608e-01	4.378746e-01	6.557926e-04	7	
1.287694e-02	1.125492e-02	5.236608e-01	4.378746e-01	6.557926e-04	7	
4.551023e-03	4.764180e-03	5.733659e-01	6.217440e-01	6.711122e-04	6	
2.588764e-02	2.636724e-02	5.436583e-01	5.327687e-01	7.031002e-04	7	
2.588764e-02	2.636724e-02	5.436583e-01	5.327687e-01	7.031002e-04	7	
4.828399e-02	3.542695e-02	4.730979e-01	2.691176e-01	6.709370e-04	8	
4.828399e-02	3.542695e-02	4.730979e-01	2.691176e-01	6.709370e-04	8	
5.599755e-02	4.569991e-02	4.554022e-01	2.401281e-01	6.471005e-04	8	
1.101393e-02	1.166237e-02	3.353819e-01	3.204386e-01	6.426339e-04	9	
5.602398e-02	5.400382e-02	3.857308e-01	3.581478e-01	5.947530e-04	7	
1.314075e-01	9.272691e-02	3.875699e-01	1.014634e-01	5.370333e-04	6	
6.417995e-02	5.189909e-02	2.720703e-01	2.152108e-01	5.698330e-04	7	
5.093117e-02	3.356464e-02	4.829578e-01	1.310949e-01	5.568438e-04	6	
3.599207e-02	3.652428e-02	4.481087e-01	3.677531e-01	6.358115e-04	9	
4.124080e-03	4.102831e-03	3.052623e-01	3.164830e-01	6.131866e-04	10	
5.740462e-02	4.507067e-02	2.680493e-01	1.745663e-01	5.977219e-04	8	
2.657112e-02	2.561903e-02	1.910534e-01	8.073295e-02	6.183339e-04	7	
3.440190e-02	2.095345e-02	5.521853e-01	2.581142e-01	6.613990e-04	6	
1.557102e-01	3.253148e-02	9.862359e-01	9.227123e-01	6.045235e-04	6	
2.330881e-02	1.726083e-02	9.724189e-01	9.593157e-01	6.531242e-04	7	
1.796253e-01	1.001259e-01	9.189992e-01	8.010706e-01	6.338874e-04	9	
2.545426e-01	1.435277e-01	7.253847e-01	4.966823e-01	6.801610e-04	7	
3.378165e-01	1.031973e-01	8.680332e-01	5.180398e-01	6.533903e-04	8	
6.881574e-02	3.837425e-02	8.308110e-01	7.200179e-01	6.898863e-04	6	
7.513304e-02	4.292469e-02	7.517730e-01	5.115055e-01	7.374606e-04	6	
1.236777e-01	6.498511e-02	7.779198e-01	5.158767e-01	7.609721e-04	7	
2.088807e-01	1.294868e-01	5.529965e-01	3.557827e-01	8.037918e-04	9	
2.454550e-01	1.967919e-01	5.187724e-01	3.906680e-01	8.211511e-04	8	
5.701328e-02	5.514209e-02	6.556711e-01	6.097492e-01	8.258058e-04	8	
1.279999e-01	1.107947e-01	7.122572e-01	6.198961e-01	8.225023e-04	8	
2.728671e-02	2.206464e-02	2.800801e-01	1.179392e-01	7.688071e-04	7	
5.845211e-02	6.411395e-02	1.492079e-02	7.236237e-03	7.285943e-04	7	
4.197777e-02	3.544023e-02	6.939796e-02	1.926525e-02	7.704491e-04	4	
7.135547e-02	7.087098e-02	1.035506e-01	7.927403e-02	7.053644e-04	6	
7.298266e-02	7.041497e-02	1.623619e-01	1.143571e-01	6.854454e-04	6	
1.877351e-02	1.760770e-02	5.701901e-02	9.007201e-03	6.669573e-04	5	
1.173741e-01	1.005100e-01	2.883280e-02	6.104572e-03	6.943217e-04	6	
6.821406e-02	6.146733e-02	1.525510e-01	1.048848e-01	7.148495e-04	7	
8.383442e-04	7.436200e-04	1.077642e-01	5.106408e-02	7.250103e-04	5	
1.668662e-02	1.326164e-02	3.402746e-01	1.668164e-01	6.975832e-04	6	
4.839463e-02	4.155136e-02	3.810554e-01	3.028085e-01	7.050574e-04	7	
3.839414e-02	2.923357e-02	5.919796e-01	5.222284e-01	6.988819e-04	7	
3.848491e-02	3.264380e-02	1.586982e-01	1.631786e-01	7.600663e-04	11	
1.211271e-01	1.130703e-01	3.432536e-01	2.921235e-01	7.860224e-04	11	
1.718114e-02	1.643300e-02	1.709778e-01	1.461469e-01	7.955743e-04	10	
1.718114e-02	1.643300e-02	1.709778e-01	1.461469e-01	7.955743e-04	10	
1.066356e-01	8.121167e-02	3.345401e-01	1.514914e-01	7.844613e-04	11	
7.181068e-03	6.605462e-03	2.062950e-01	1.048700e-01	8.242016e-04	8	
7.804042e-03	9.127453e-03	5.549523e-02	1.260682e-02	8.256156e-04	7	
2.239982e-01	1.268748e-01	6.958562e-01	3.378029e-01	8.629652e-04	6	
3.421367e-02	5.513172e-03	9.955178e-01	9.725657e-01	8.205066e-04	7	
3.043960e-01	1.356640e-01	9.699460e-01	9.066613e-01	8.514833e-04	10	
6.313811e-02	5.632373e-02	6.798141e-01	5.796240e-01	7.985542e-04	10	
5.713985e-02	5.597431e-02	6.696837e-01	6.692542e-01	7.303295e-04	9	
3.348942e-02	4.847624e-02	7.383178e-01	8.231239e-01	7.127039e-04	11	
9.707969e-02	7.247044e-02	7.624323e-01	7.041588e-01	7.719202e-04	13	
6.848579e-02	6.715066e-02	5.900154e-01	5.911699e-01	7.493270e-04	13	
1.438984e-01	1.215967e-01	7.797892e-01	7.252646e-01	7.443062e-04	14	
6.784877e-02	5.704665e-02	6.389511e-01	5.144088e-01	7.839051e-04	13	
6.003034e-02	3.417763e-02	7.010729e-01	5.348119e-01	7.866816e-04	12	
4.664126e-02	2.153332e-02	9.678454e-01	9.182015e-01	7.695391e-04	11	
1.111255e-01	8.140583e-02	3.992546e-01	2.584503e-01	8.414096e-04	10	
7.147464e-02	5.153688e-02	5.010140e-01	3.719225e-01	8.885286e-04	13	
